,Error
DZQV_CD8_naive,0.3378120819653165
DZQV_CD8_CM,0.33684734123252785
DZQV_CD8_EM,0.33316036256412673
DZQV_CD8_TE,0.32088862751449093
DZQV_MAIT,0.3417156701121801
DZQV_VD2,0.3199396447237805
DZQV_VD21,0.3493567354634817
DZQV_TFH,0.33703333476887604
DZQV_Treg,0.3332482666854549
DZQV_Th1,0.32928398468094555
DZQV_Th1Th17,0.3214544040356975
DZQV_Th17,0.32254655062499854
DZQV_Th2,0.32922207088182387
DZQV_CD4_naive,0.31585800196090363
DZQV_Progenitor,0.36704729845486367
DZQV_B_naive,0.34942452945746183
DZQV_B_NSM,0.34754795237987585
DZQV_B_Ex,0.346598205686086
DZQV_B_SM,0.3310327383696939
DZQV_Plasmablasts,0.30138727079700517
DZQV_C_mono,0.39672229935650616
DZQV_I_mono,0.3815358896234491
DZQV_NC_mono,0.383536679227835
DZQV_NK,0.35700768395997234
DZQV_pDC,0.4002099780046312
DZQV_mDC,0.3603294800650957
DZQV_Neutrophils,0.47457781768555535
DZQV_Basophils,0.4321373587621849
X925L_CD8_naive,0.3507854866110785
X925L_CD8_CM,0.33282291671974956
X925L_CD8_EM,0.3334812086882049
X925L_CD8_TE,0.3401916396074714
X925L_MAIT,0.331811013086173
X925L_VD2,0.32747055573729267
X925L_VD21,0.34996886360275115
X925L_TFH,0.3163536853249922
X925L_Treg,0.32314819488283686
X925L_Th1,0.33310418756154664
X925L_Th1Th17,0.3504489694849351
X925L_Th17,0.3468792029641606
X925L_Th2,0.3255623949759609
X925L_CD4_naive,0.3332288826106018
X925L_CD4_TE,0.35471169088492494
X925L_Progenitor,0.3721115445610261
X925L_B_naive,0.3489174813567129
X925L_B_NSM,0.3262387914773577
X925L_B_Ex,0.3204446121565052
X925L_B_SM,0.3382500613619134
X925L_Plasmablasts,0.2969818287418541
X925L_C_mono,0.3774033225299384
X925L_I_mono,0.36579905078887787
X925L_NC_mono,0.3674640773015001
X925L_NK,0.37012977883232206
X925L_pDC,0.37916537595750316
X925L_mDC,0.34574301124319734
X925L_Neutrophils,0.4675839911796709
X925L_Basophils,0.41994788438727476
X9JD4_CD8_naive,0.3209914349202198
X9JD4_CD8_CM,0.3337558130112488
X9JD4_CD8_EM,0.34058702772740906
X9JD4_CD8_TE,0.34199048638683116
X9JD4_MAIT,0.32306975964060536
X9JD4_VD2,0.33207289840582876
X9JD4_VD21,0.3358898401091109
X9JD4_TFH,0.3278899378092189
X9JD4_Treg,0.33144316407318847
X9JD4_Th1,0.3237508297280126
X9JD4_Th1Th17,0.3208647148082174
X9JD4_Th17,0.33694164753244266
X9JD4_Th2,0.32890965112336
X9JD4_CD4_naive,0.33436697541841276
X9JD4_CD4_TE,0.33328048437049707
X9JD4_Progenitor,0.35774159852034904
X9JD4_B_naive,0.3334358290654498
X9JD4_B_NSM,0.33884648719300753
X9JD4_B_Ex,0.3322188319798584
X9JD4_B_SM,0.33589185527992865
X9JD4_Plasmablasts,0.3034247037806607
X9JD4_C_mono,0.35999613393116026
X9JD4_I_mono,0.353120796541399
X9JD4_NC_mono,0.36028836297388134
X9JD4_NK,0.35190568365150193
X9JD4_pDC,0.3942904509646008
X9JD4_mDC,0.3462124594759276
X9JD4_Neutrophils,0.46009732001991294
X9JD4_Basophils,0.4165704999195623
G4YW_CD8_naive,0.3265808866036255
G4YW_CD8_CM,0.31714753944185137
G4YW_CD8_EM,0.3491327991047194
CYFZ_PBMC,0.34583304535611986
FY2H_PBMC,0.3527215573081271
FLWA_PBMC,0.3383289607687649
X453W_PBMC,0.34993246961659175
X684C_PBMC,0.33032893425493165
CZJE_PBMC,0.3451028192289886
G4YW_CD8_TE,0.3373654632919461
G4YW_MAIT,0.32023338224833464
G4YW_VD2,0.31374598431497625
G4YW_VD21,0.33045454694833754
G4YW_TFH,0.32197758956975003
G4YW_Treg,0.3124710646194151
G4YW_Th1,0.30763567306670975
G4YW_Th1Th17,0.3186176058788667
G4YW_Th17,0.3257212204713783
G4YW_Th2,0.3184429860451485
G4YW_CD4_naive,0.3199954612689744
G4YW_Progenitor,0.3445657018261049
G4YW_B_naive,0.3170884217462007
G4YW_B_NSM,0.3208368196010866
G4YW_B_Ex,0.3081766177118202
G4YW_B_SM,0.31892660048263527
G4YW_Plasmablasts,0.2986766611312
G4YW_C_mono,0.3643528372476001
G4YW_I_mono,0.3455976020247709
G4YW_NC_mono,0.3540856450704974
G4YW_NK,0.35219504416540415
G4YW_pDC,0.3985145440230486
G4YW_mDC,0.34641322790913875
G4YW_Neutrophils,0.4573675137112624
G4YW_Basophils,0.4080563633082628
DZQV_PBMC,0.3412160408602
X925L_PBMC,0.3357324951003223
X9JD4_PBMC,0.3278005773362198
G4YW_PBMC,0.32424875197630054
X4DUY_PBMC,0.33737704538744634
X36TS_PBMC,0.34780211227789504
CR3L_PBMC,0.3472066543105375
